skill_python,skill_javascript,skill_react,skill_nodejs,skill_mongodb,skill_design,skill_testing,skill_devops,skill_ml,skill_java,role_PM,role_Developer,role_Designer,role_QA,role_BusinessAnalyst,availability_overlap,team_size,avg_skill_level,skill_diversity,roles_covered,max_skill_gap,workload_balance_score,success_score
2,2,1,2,2,5,1,1,2,2,0,1,1,1,0,0.5481681776909079,3,2.0,7,3,2.912,1.786,50.57
4,3,3,5,3,1,5,4,2,2,1,0,1,1,0,0.6914450125217895,6,3.2,9,3,0.912,0.062,93.53
2,5,5,2,2,5,5,2,2,2,1,1,1,0,1,0.4416543553566612,6,3.2,10,4,0.918,1.158,100.0
3,1,2,4,2,4,4,2,2,1,1,1,1,0,1,0.6314425807398676,4,2.5,8,4,0.801,0.663,83.7
3,5,3,5,3,1,2,5,2,2,1,1,1,1,1,0.8404087024776916,5,3.1,9,5,1.985,0.747,94.97
2,4,4,2,2,5,2,3,2,2,1,0,1,1,1,0.3917404260901193,4,2.8,10,4,0.371,1.855,89.1
3,5,5,4,2,3,5,2,2,2,1,1,1,0,0,0.5172342717468521,6,3.3,10,3,0.432,1.842,100.0
5,1,2,5,4,4,5,5,2,2,0,1,1,1,1,0.7476942898659771,6,3.5,9,4,0.799,0.28,92.4
2,2,2,2,2,4,3,1,2,1,1,0,0,1,1,0.7863586901729487,3,2.1,8,3,2.582,0.264,78.93
5,2,2,5,4,5,3,2,2,2,1,1,1,1,1,0.4103281540374997,5,3.2,10,5,0.443,1.872,94.27
5,1,2,5,3,4,2,3,2,2,1,0,1,1,1,0.374493672309968,4,2.9,9,4,2.997,1.331,75.93
3,2,2,5,4,5,2,5,2,2,1,1,1,1,1,0.4211894924957522,6,3.2,10,5,0.275,0.367,89.57
1,4,4,2,2,3,4,3,1,2,1,1,1,1,1,0.7567031395647221,5,2.6,8,5,0.949,1.575,98.55
2,1,2,1,2,2,4,4,1,2,1,1,0,1,0,0.81988479670756,3,2.1,7,3,0.044,1.654,65.58
2,5,5,2,2,2,4,5,1,2,1,0,1,1,1,0.6285288539332808,4,3.0,9,4,0.452,0.362,100.0
3,4,4,3,2,5,4,2,2,2,1,1,1,0,0,0.7921234259892247,6,3.1,10,3,1.901,1.964,100.0
4,2,2,3,4,2,4,5,2,2,1,1,0,1,1,0.8614418508900068,4,3.0,10,4,2.774,1.645,87.13
5,2,2,3,4,5,5,2,2,2,1,1,1,1,1,0.5074534399078154,5,3.2,10,5,1.224,0.274,100.0
5,4,5,4,4,2,1,4,2,1,1,1,1,0,0,0.6706794386995506,3,3.2,8,3,2.227,1.181,88.77
5,5,3,3,3,5,2,4,2,2,1,1,1,0,0,0.9039351946186145,6,3.4,10,3,0.004,1.016,100.0
3,2,2,4,2,2,5,3,2,1,1,0,0,1,1,0.3774406272935423,3,2.6,9,3,1.86,0.483,83.11
2,3,5,2,0,5,2,3,2,1,1,0,1,0,1,0.3546758751562547,3,2.5,8,3,0.09,0.693,87.3
4,2,2,4,4,5,2,4,2,2,1,1,1,1,1,0.6968564567235707,5,3.1,10,5,2.275,1.967,87.76
